class,parent,classLabel,parentLabel,classDefinition,parentDefinition,classComment,parentComment
http://purl.obolibrary.org/obo/BFO_0000002,http://purl.obolibrary.org/obo/BFO_0000001,continuant,entity,"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,,
http://purl.obolibrary.org/obo/BFO_0000003,http://purl.obolibrary.org/obo/BFO_0000001,occurrent,entity,"An entity that has temporal parts and that happens, unfolds or develops through time.",,,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.","An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002]),"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,
http://purl.obolibrary.org/obo/BFO_0000017,http://purl.obolibrary.org/obo/BFO_0000020,realizable entity,specifically dependent continuant,"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.",A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.,,
http://purl.obolibrary.org/obo/BFO_0000017,http://purl.obolibrary.org/obo/BFO_0000020,realizable entity,specifically dependent continuant,"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.","b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1  i &lt; j  n, ci  and cj share no common parts, are such that for each 1  i  n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])",,
http://purl.obolibrary.org/obo/BFO_0000017,http://purl.obolibrary.org/obo/BFO_0000020,realizable entity,specifically dependent continuant,"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.",b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003]),,
http://purl.obolibrary.org/obo/BFO_0000019,http://purl.obolibrary.org/obo/BFO_0000020,quality,specifically dependent continuant,,A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.,,
http://purl.obolibrary.org/obo/BFO_0000019,http://purl.obolibrary.org/obo/BFO_0000020,quality,specifically dependent continuant,,"b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1  i &lt; j  n, ci  and cj share no common parts, are such that for each 1  i  n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])",,
http://purl.obolibrary.org/obo/BFO_0000019,http://purl.obolibrary.org/obo/BFO_0000020,quality,specifically dependent continuant,,b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003]),,
http://purl.obolibrary.org/obo/BFO_0000020,http://purl.obolibrary.org/obo/BFO_0000002,specifically dependent continuant,continuant,A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.,"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,
http://purl.obolibrary.org/obo/BFO_0000020,http://purl.obolibrary.org/obo/BFO_0000002,specifically dependent continuant,continuant,"b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1  i &lt; j  n, ci  and cj share no common parts, are such that for each 1  i  n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])","An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,
http://purl.obolibrary.org/obo/BFO_0000020,http://purl.obolibrary.org/obo/BFO_0000002,specifically dependent continuant,continuant,b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003]),"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,
http://purl.obolibrary.org/obo/BFO_0000031,http://purl.obolibrary.org/obo/BFO_0000002,generically dependent continuant,continuant,A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time.,"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,
http://purl.obolibrary.org/obo/BFO_0000031,http://purl.obolibrary.org/obo/BFO_0000002,generically dependent continuant,continuant,b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001]),"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,
http://purl.obolibrary.org/obo/BFO_0000015,http://purl.obolibrary.org/obo/BFO_0000003,process,occurrent,"An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.","An entity that has temporal parts and that happens, unfolds or develops through time.",,
