ObjectProperty,label,parent,parentLabel,definition,comment,IAODefinition,domain,domainLabel,domainDef,domainComment,domainIAODefinition,range,rangeLabel,rangeDef,rangeComment,rangeIAODefinition
http://cerrado.linkeddata.es/ecology/ccon#affects,affects,,,,,,,,,,,,,,,
http://cerrado.linkeddata.es/ecology/ccon#isAffectedBy,is affected by,,,,,,,,,,,,,,,
http://cerrado.linkeddata.es/ecology/ccon#decreases,decreases,http://cerrado.linkeddata.es/ecology/ccon#affects,affects,,,,http://cerrado.linkeddata.es/ecology/ccon#Precipitation,average annual precipitation,,Any product of the condensation of atmospheric water vapour that falls under gravity (http://en.wikipedia.org/wiki/Precipitation),,,,,,
http://cerrado.linkeddata.es/ecology/ccon#decreases,decreases,http://cerrado.linkeddata.es/ecology/ccon#affects,affects,,,,http://cerrado.linkeddata.es/ecology/ccon#Precipitation,precipitation,,Any product of the condensation of atmospheric water vapour that falls under gravity (http://en.wikipedia.org/wiki/Precipitation),,,,,,
http://cerrado.linkeddata.es/ecology/ccon#decreases,decreases,http://cerrado.linkeddata.es/ecology/ccon#affects,affects,,,,http://cerrado.linkeddata.es/ecology/ccon#Precipitation,rainfall,,Any product of the condensation of atmospheric water vapour that falls under gravity (http://en.wikipedia.org/wiki/Precipitation),,,,,,
http://cerrado.linkeddata.es/ecology/ccon#hasComponent,has component,,,,,,,,,,,,,,,
http://cerrado.linkeddata.es/ecology/ccon#isPartOf,is part of,,,,,,,,,,,,,,,
http://cerrado.linkeddata.es/ecology/ccon#hasDistribution,has distribution,,,,,,http://purl.obolibrary.org/obo/NCIT_C45293,species,A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.,,,https://w3id.org/inbio#_000026,area,A geographical region that can include land as well as water.,,
https://w3id.org/inbio#_000116,is range of,,,,,,https://w3id.org/inbio#_000026,area,A geographical region that can include land as well as water.,,,http://purl.obolibrary.org/obo/NCIT_C45293,species,A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.,,
http://cerrado.linkeddata.es/ecology/ccon#hasGrowth,has growth,,,,,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,,http://cerrado.linkeddata.es/ecology/ccon#GrowthRate,growth,,It's a measure of the changes in population or community size over time.,
http://cerrado.linkeddata.es/ecology/ccon#hasGrowth,has growth,,,,,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,,http://cerrado.linkeddata.es/ecology/ccon#GrowthRate,growth rate,,It's a measure of the changes in population or community size over time.,
http://cerrado.linkeddata.es/ecology/ccon#isGrowthOf,is growth of,,,,,,http://cerrado.linkeddata.es/ecology/ccon#GrowthRate,growth,,It's a measure of the changes in population or community size over time.,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,
http://cerrado.linkeddata.es/ecology/ccon#isGrowthOf,is growth of,,,,,,http://cerrado.linkeddata.es/ecology/ccon#GrowthRate,growth rate,,It's a measure of the changes in population or community size over time.,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,
http://cerrado.linkeddata.es/ecology/ccon#hasMortality,has mortality,,,,,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,,http://cerrado.linkeddata.es/ecology/ccon#Mortality,death rate,,It's the number of individuals dead over time.,
http://cerrado.linkeddata.es/ecology/ccon#hasMortality,has mortality,,,,,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,,http://cerrado.linkeddata.es/ecology/ccon#Mortality,mortality,,It's the number of individuals dead over time.,
http://cerrado.linkeddata.es/ecology/ccon#hasMortality,has mortality,,,,,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,,http://cerrado.linkeddata.es/ecology/ccon#Mortality,mortality rate,,It's the number of individuals dead over time.,
http://cerrado.linkeddata.es/ecology/ccon#isMortalityOf,is mortality of,,,,,,http://cerrado.linkeddata.es/ecology/ccon#Mortality,death rate,,It's the number of individuals dead over time.,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,
http://cerrado.linkeddata.es/ecology/ccon#isMortalityOf,is mortality of,,,,,,http://cerrado.linkeddata.es/ecology/ccon#Mortality,mortality,,It's the number of individuals dead over time.,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,
