class,parent,classLabel,parentLabel,classDefinition,parentDefinition,classComment,parentComment
http://cerrado.linkeddata.es/ecology/ccon#Precipitation,http://purl.obolibrary.org/obo/ENVO_01000203,average annual precipitation,environmental condition,,An environmental condition is a range of a determinate quality or combination of qualities that are present in an environmental system.,Any product of the condensation of atmospheric water vapour that falls under gravity (http://en.wikipedia.org/wiki/Precipitation),"An abiotic environmental factor that influences the functioning of living organisms (Begon et al., 2006)."
http://cerrado.linkeddata.es/ecology/ccon#Precipitation,http://purl.obolibrary.org/obo/ENVO_01000203,precipitation,environmental condition,,An environmental condition is a range of a determinate quality or combination of qualities that are present in an environmental system.,Any product of the condensation of atmospheric water vapour that falls under gravity (http://en.wikipedia.org/wiki/Precipitation),"An abiotic environmental factor that influences the functioning of living organisms (Begon et al., 2006)."
http://cerrado.linkeddata.es/ecology/ccon#Precipitation,http://purl.obolibrary.org/obo/ENVO_01000203,rainfall,environmental condition,,An environmental condition is a range of a determinate quality or combination of qualities that are present in an environmental system.,Any product of the condensation of atmospheric water vapour that falls under gravity (http://en.wikipedia.org/wiki/Precipitation),"An abiotic environmental factor that influences the functioning of living organisms (Begon et al., 2006)."
http://purl.obolibrary.org/obo/NCIT_C45293,http://purl.obolibrary.org/obo/NCIT_C40098,species,taxon,A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.,Ranked categories for the classification of organisms according to their suspected evolutionary relationships.,,
https://w3id.org/inbio#_000026,http://purl.obolibrary.org/obo/NCIT_C20181,area,conceptual entity,A geographical region that can include land as well as water.,,,
https://w3id.org/inbio#_000093,http://purl.obolibrary.org/obo/NCIT_C45293,population,species,A population comprises all the individuals of a given species in a specific area or region at a certain time.,A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.,,
http://cerrado.linkeddata.es/ecology/ccon#GrowthRate,https://w3id.org/inbio#_000074,growth,life history trait,,,It's a measure of the changes in population or community size over time.,
http://cerrado.linkeddata.es/ecology/ccon#GrowthRate,https://w3id.org/inbio#_000074,growth rate,life history trait,,,It's a measure of the changes in population or community size over time.,
http://cerrado.linkeddata.es/ecology/ccon#Mortality,https://w3id.org/inbio#_000074,death rate,life history trait,,,It's the number of individuals dead over time.,
http://cerrado.linkeddata.es/ecology/ccon#Mortality,https://w3id.org/inbio#_000074,mortality,life history trait,,,It's the number of individuals dead over time.,
http://cerrado.linkeddata.es/ecology/ccon#Mortality,https://w3id.org/inbio#_000074,mortality rate,life history trait,,,It's the number of individuals dead over time.,
